"fdc_id","food_desc","foodgroup","Edible_factor_in_FCT","WATERg","ENERCkJ","ENERCkcal","FAT_g","FASATg","F12D0g","F14D0g","F16D0g","F18D0g","FATRNg","FAMSg","F16D1g","F18D1g","FAPUg","F18D2N6g","F18D3N3g","F20D3N3g","F20D3N6g","F20D4N3g","F20D4N6g","F20D5N3g","F22D5N3g","F22D6N3g","omega_3","omega_6","CHOLEmg","CHOAVLg","STARCHg","mono_di","SUGARg","FIBTGg","PROCNTg","salt","ALCg","VITA_RAEmcg","RETOLmcg","CARTBmcg","VITDmcg","VITEmg","THIAmg","RIBFmg","NIAmg","VITB6_mg","FOLmcg","VITB12mcg","VITCmg","CAmg","FEmg","NAmg","Kmg","MGmg","ZNmg","SEmcg","CUmg","Pmg","IDmcg","scientific_name","nutrient_data_source","source_fct"
"01.108","Cream, coffee, 10 % fat","Milk and milk products",1,83,491,118,10,6.3,0.3,1,2.83,1.04,0.3,2.4,0.23,2.04,0.2,0.14,0.04,0,0,0,0,0,0,0,"0.04","0.04",25,4.1,0,"4.0999999999999996",0,0,3,"0.1",0,144,139,59,0.1,0.2,0.04,0.1,0.1,0.03,5,0.4,0,119,0.1,40,157,11,0.4,2,0,80,17,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.175","Cream, household, 18 % fat","Milk and milk products",1,75,780,189,18,11.4,0.54,1.8,5.1,1.87,0.5,4.3,0.41,3.67,0.4,0.25,0.07,0,0,0,0,0,0,0,"7.0000000000000007E-2","7.0000000000000007E-2",44,3.7,0,"3.7",0,0,3,"0.1",0,260,251,106,0.1,0.4,0.04,0.1,0.1,0.03,5,0.4,0,104,0,30,133,9,0.3,2,0,71,14,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.086","Cream, sour, 35 % fat","Milk and milk products",1,60,1378,335,35,22.2,1.05,3.5,9.91,3.64,1,8.4,0.8,7.14,0.8,0.49,0.14,0,0,0,0,0,0,0,"0.14000000000000001","0.14000000000000001",86,2.9,0,"2.9",0,0,2,"0.1",0,505,488,206,0.2,0.8,0.03,0.1,0,0.02,4,0.2,0,80,0,30,97,6,0.2,1,0,53,13,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.089","Cream, sour, 35 % fat, Crème Fraîche","Milk and milk products",1,60,1378,335,35,22.2,1.05,3.5,9.91,3.64,1,8.4,0.8,7.14,0.8,0.49,0.14,0,0,0,0,0,0,0,"0.14000000000000001","0.14000000000000001",86,2.9,0,"2.9",0,0,2,"0.1",0,505,488,206,0.2,0.8,0.03,0.1,0,0.02,4,0.2,0,80,0,30,97,6,0.2,1,0,53,17,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.088","Cream, sour, extra low-fat, 10 % fat","Milk and milk products",1,83,491,118,10,6.3,0.3,1,2.83,1.04,0.3,2.4,0.23,2.04,0.2,0.14,0.04,0,0,0,0,0,0,0,"0.04","0.04",25,4.1,0,"4.0999999999999996",0,0,3,"0.1",0,44,39,59,0.1,0.2,0.04,0.1,0.1,0.03,5,0.4,0,119,0.1,30,156,11,0.4,2,0,79,17,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.087","Cream, sour, low-fat, 18 % fat","Milk and milk products",1,75,780,189,18,11.4,0.54,1.8,5.09,1.87,0.5,4.3,0.41,3.67,0.4,0.25,0.07,0,0,0,0,0,0,0,"7.0000000000000007E-2","7.0000000000000007E-2",44,3.7,0,"3.7",0,0,3,"0.1",0,259,250,106,0.1,0.4,0.04,0.1,0.1,0.03,5,0.4,0,105,0,30,138,9,0.3,2,0,71,16,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.286","Cream, sour, low-fat, 18 % fat, organic","Milk and milk products",1,75,780,189,18,12,0.65,2.06,5.18,1.67,0.5,3.8,0.39,3.1,0.4,0.32,0.09,0,0,0,0,0,0,0,"0.09","0.09",49,3.7,0,"3.7",0,0,3,"0.1",0,258,250,97,0.1,0.4,0.04,0.1,0.1,0.03,5,0.4,0,105,0,30,138,9,0.3,2,0,71,16,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.225","Cream, whipped, canned","Milk and milk products",1,60,1340,325,33,20.9,0.99,3.3,9.34,3.43,1,8,0.76,6.73,0.7,0.46,0.13,0,0,0,0,0,0,0,"0.13","0.13",81,5,0,"5",2,0,2,"0.1",0,148,132,194,0,0.8,0.03,0.1,0,0.02,4,0.2,0,80,0,30,98,6,0.2,1,4,53,12,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.015","Cream, whipping, 37 % fat","Milk and milk products",1,58,1452,353,37,23.4,1.11,3.7,10.47,3.85,1.1,8.9,0.85,7.55,0.8,0.52,0.15,0,0,0,0,0,0,0,"0.15","0.15",91,2.9,0,"2.9",0,0,2,"0.1",0,352,334,217,0,0,0,0.2,0,0,0,0.4,0,0,0,30,0,0,0,2,0,90,10,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.273","Cream, whipping, 37 % fat, lactose free","Milk and milk products",1,58,1452,353,37,23.5,1.11,3.71,10.49,3.85,1.1,8.9,0.85,7.56,0.8,0.52,0.15,0,0,0,0,0,0,0,"0.15","0.15",91,2.9,0,"2.9",0,0,2,"0.1",0,535,517,218,0.2,0.9,0.03,0.1,0,0.02,4,0.2,0,76,0,30,92,5,0.2,1,0.09,51,12,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.296","Cultured oat product, for food preparation, 15 % fat","Milk and milk products",1,72,774,187,15.7,1.3,0,0,1.01,0.21,0,8.9,0.03,8.74,4.6,3.48,1.08,0,0,0,0,0,0,0,"1.08","3.48",0,10.1,7.3,"2.8",NA,1,0.8,"0",0,0,0,0,0,0,0.04,0,0,0,12,0,0,120,0,0,45,0,0.1,0,NA,25,0,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.295","Cultured, thickened oat product","Milk and milk products",1,84,319,76,2.4,0.2,0,0,0.17,0.03,NA,1.3,0,1.29,0.7,0.57,0.15,NA,NA,NA,0,0,0,0,"0.15","0.56999999999999995",0,11.7,7.7,"4",NA,1,1.5,"0.1",0,0,0,0,1.1,0,0,0.29,0,0,9,0.4,0,120,0,29,44,6,0.1,0,NA,47,23,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.180","Dressing, sour cream with herbs","Milk and milk products",1,80,564,136,11.8,7.3,0.33,1.01,2.82,1.1,0.5,3.2,0.14,3.23,0.2,0.57,0.2,0,0.01,0,0.01,0,0.01,0,"0.23","0.59",36,4.7,0,"4.7",0,0,2.8,"0.8",0,140,129,131,0.2,0.3,0.04,0.13,0.1,0.02,10,0.2,0,110,0,306,159,95,0.3,1,0,78,9,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.036","Quark, 1 % fat","Milk and milk products",1,85,280,66,1,0.6,0.03,0.1,0.28,0.1,0,0.2,0.02,0.2,0,0.01,0,0,0,0,0,0,0,0,"0","0",2,4.3,0,"4.3",0,0,10,"0.1",0,4,4,5,0,0,0,0.2,0.1,0.05,26,0.8,0,125,0,34,150,13,0.6,4,0.02,145,14,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.226","Quark, 7 % fat","Milk and milk products",1,82,450,108,7.1,4.5,0.21,0.71,2.01,0.74,0.2,1.7,0.16,1.45,0.2,0.1,0.03,0,0,0,0,0,0,0,"0.03","0.03",17,4,0,"4",0,0,7,"0.1",0,32,29,42,0,0.2,0,0.2,0.1,0,26,0.8,0,133,0,34,140,12,0.6,3,0.02,150,16,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
