"X0","X1","X2","V4"
"C20:4 /100g food (g)","FOD20:4","Eicosatetraenoic acid per 100g food",NA
"cis n-6 C20:4 /100g food (g)","FOD20:4cn6","cis n-6 Eicosatetraenoic acid per 100g food",NA
"C20:5 /100g food (g)","FOD20:5","Eicosapentaenoic acid per 100g food",NA
"cis n-3 C20:5 /100g food (g)","FOD20:5cn3","cis n-3 Eicosapentaenoic acid per 100g food","F20D5N3g"
"unknown C20 poly /100g food (g)","FOD20 poly","unknown C20 polyunsaturated fatty acid per 100g food",NA
"C21:5 /100g food (g)","FOD21:5","Heneicosapentaenoic acid per 100g food",NA
"cis n-3 C21:5 /100g food (g)","FOD21:5cn3","cis n-3 Heneicosapentaenoic acid per 100g food",NA
"C22:2 /100g food (g)","FOD22:2","Docosadienoic acid per 100g food",NA
"cis n-6 C22:2 /100g food (g)","FOD22:2cn6","cis n-6 Docosadienoic acid per 100g food",NA
"cis n-6 C22:3 /100g food (g)","FOD22:3cn6","cis n-6",NA
"C22:4 /100g food (g)","FOD22:4","Docosatetraenoic acid per 100g food",NA
"cis n-6 C22:4 /100g food (g)","FOD22:4cn6","cis n-6 Docosatetraenoic acid per 100g food",NA
"C22:5 /100g food (g)","FOD22:5","Docosapentaenoic acid per 100g food",NA
"cis n-3 C22:5 /100g food (g)","FOD22:5cn3","cis n-3 Docosapentaenoic acid per 100g food",NA
"C22:6 /100g food (g)","FOD22:6","Docosahexaenoic acid (DHA) per 100g food",NA
"cis n-3 C22:6 /100g food (g)","FOD22:6cn3","cis n-3 Docosahexaenoic acid (DHA) per 100g food","F22D6N3g"
"unknown C22 poly /100g food (g)","FOD22 poly","unknown polyunsaturated fatty acid per 100g food",NA
"trans poly /100g food (g)","POLYFODtr","trans polyunsaturated fatty acid per 100g food",NA
"Total Phytosterols (mg)","Total PHYTO","Total Phytosterols",NA
"Other Cholesterol and Phytosterols (mg)","Other CHOL and PHYTO","Other Cholesterol and Phytosterols",NA
"Phytosterol (mg)","PHYTO","Phytosterol",NA
"Beta-sitosterol (mg)","BSITPHYTO","Beta-sitosterol",NA
"Brassicasterol (mg)","BRASPHYTO","Brassicasterol",NA
"Campesterol (mg)","CAMPHYTO","Campesterol",NA
"Delta-5-avenasterol (mg)","D5AVEN","Delta-5-avenasterol",NA
"Delta-7-avenasterol (mg)","D7AVEN","Delta-7-avenasterol",NA
"Delta-7-stigmastenol (mg)","D7STIG","Delta-7-stigmastenol",NA
"Stigmasterol (mg)","STIGPHYTO","Stigmasterol",NA
"Citric acid (g)","CITA","Citric acid",NA
"Malic acid (g)","MALA","Malic acid",NA
