"fdc_id","food_desc","food_group","source_fct","nutrient_data_source","ALCg","CARTAmcg","TOCPHAmg","ASHg","CHOAVLDFg","Available carbohydrate, FSANZ (g/100g)","CHOAVLg","CHOAVLMg","CARTBmcg","CARTBEQmcg","TOCPHBmg","Caffeine (mg/100g)","CAmg","Carbohydrate by difference, FSANZ (g/100g)","CHOLEmg","CUmg","TOCPHDmg","FOLDFEmcg","Dry matter (g/100g)","Edible_factor_in_FCT","Energy, total metabolisable (kcal) (kcal/100g)","ENERCkcal","Energy, total metabolisable (kJ) (kJ/100g)","ENERCkJ","Energy, total metabolisable, available carbohydrate, FSANZ (kcal) (kcal/100g)","Energy, total metabolisable, available carbohydrate, FSANZ (kJ) (kJ/100g)","Energy, total metabolisable, carbohydrate by difference, FSANZ (kcal) (kcal/100g)","Energy, total metabolisable, carbohydrate by difference, FSANZ (kJ) (kJ/100g)","FATg","Fatty acid 18:3 omega-3 (g/100g)","F20D5N3g","Fatty acid 22:5 omega-3 (g/100g)","F22D6N3g","Fatty acid cis, trans 18:2 omega-9, 11 (g/100g)","Fatty acid cis,cis 18:2 omega-6 (g/100g)","Fatty acids, total long chain polyunsaturated omega-3 (g/100g)","FAMSg","FAPUg","Fatty acids, total polyunsaturated omega-3 (g/100g)","Fatty acids, total polyunsaturated omega-6 (g/100g)","FASATg","FATRNg","FIBTGg","FIBINSg","FIBSOLg","FOLFDmg","FOLmg","FOLACmg","Fructose (g/100g)","TOCPHGmg","Glucose (g/100g)","IDmcg","FEmg","Lactose (g/100g)","MGmg","Maltose (g/100g)","MNmcg","NIATRPmg","NIAEQmg","NIAmg","NTg","Pmg","Kmg","PROCNTg","RETOLmcg","RIBFmg","SEmcg","NAmg","STARCHg","SUCSg","SUGADg","Sugar, free (g/100g)","SUGARg","THIAmg","CHOCDFg","CHOCSMg","TRPmg","VITA_RAEmcg","VITAmcg","VITB12mcg","VITB6Amg","VITCmcg","VITDmcg","VITEmg","WATERg","ZNmg"
"L46","Cherry, flesh & skin, raw, Bing","Fruits","NZ18","pruzcdb","0","0","0.34","0.53","16.22","13.07","13.07","13.09","27","27",NA,"0","14","16.22","0","0.08",NA,"6","18.97",0.91,"57.33","59.75","243.4","253.08","60.55","253.08","73.349999999999994","306.58999999999997","0.2",NA,NA,NA,NA,NA,NA,NA,"5.5E-2","0.06",NA,NA,"4.4999999999999998E-2",NA,"1.21",NA,NA,"6","6","0","6",NA,"6.8","0.13","0.54","0","10","0","60","0.1","0.5","0.4","0.13","18","180","0.81","0","0","0.66","3.4","7.0000000000000007E-2","0.2","0","0","13","0.03","17.43","14.28",NA,"2.25","4.51","0","0.03","13.4","0","0.34","81.03","0.06"
"L47","Cherry, flesh & skin, raw, Dawson","Fruits","NZ18","pruzcdbl","0","0","0.5","0.53","18.559999999999999","15.4","15.4","15.41","25","25",NA,"0","17.399999999999999","18.559999999999999","0","0.11",NA,"6","21.79",0.89,"68.64","71.3","291.33","301.97000000000003","72.239999999999995","301.97000000000003","85.08","355.65","0.31",NA,NA,NA,NA,NA,NA,NA,"8.3000000000000004E-2","9.1999999999999998E-2",NA,NA,"6.9000000000000006E-2",NA,"1.33",NA,NA,"6","6","0","6.8",NA,"8.5","0.13","0.95","0","13.3","0","122","0.2","0.6","0.4","0.17","24.5","245","1.06","0","0","0.66","3.27","0.1","0","0","0","15.3","0.02","19.89","16.73",NA,"2.08","4.18","0","0.08","27.3","0","0.5","78.209999999999994","0.09"
"L48","Cranberry, raw","Fruits","NZ18","pubgcdrz","0",NA,NA,"0.19","8.0399999999999991","3.4","3.4","3.4","20","20",NA,"0","15","8.0399999999999991","0","0.14000000000000001",NA,"2","13",1,"16.899999999999999","25.3","71.58","105.18","25.16","105.18","44.01","183.97","0.2",NA,NA,NA,NA,NA,NA,NA,"2.1999999999999999E-2","0.13",NA,NA,"8.0000000000000002E-3",NA,"4.2",NA,NA,"2","2","0","1.2",NA,"2.2000000000000002","0.21","0.7","0","8","0","152","0.1","0.2","0.1","0.06","11","120","0.38","0","0.02","0.6","2","0","0","0","0","3.4","0.03","12.24","7.6",NA,"1.67","3.34","0","0.04","12","0","1.7","87","0.13"
"L49","Currant, dried","Fruits","NZ18","pcubgdarz","0",NA,NA,"2.27","66.92","66.73","66.73","66.91","30","30",NA,"0","95","66.92","0","0.48",NA,"10","78",1,"280.67","292.67","1192.22","1240.22","296.7","1240.22","297.47000000000003","1243.4100000000001","0.5",NA,NA,NA,NA,NA,NA,NA,"2.4E-2","0.17699999999999999",NA,NA,"0.19800000000000001",NA,"6",NA,NA,"10","10","0","33.130000000000003",NA,"31.8","2.5","1.8","0","36","0","301","0.19","1.0900000000000001","0.9","0.37","40","710","2.31","0","0.08","0.94","20","1.8","0","0","0","64.930000000000007","0.03","72.92","72.73","11.1","2.5","5.01","0","0.3","0","0","3.5","22","0.5"
"L5","Apple, flesh & skin, raw, Golden Delicious","Fruits","NZ18","pzcdaurb","0","0","0.17","0.18","11.48","10.46","10.46","10.59","54","54",NA,"0","3.15","11.48","0","0.01",NA,"2.8","15.11",0.93,"47.38","52.78","200.73","222.33","53.19","222.33","57.35","239.71","0.51",NA,NA,NA,NA,NA,NA,NA,"3.4000000000000002E-2","0.24199999999999999",NA,NA,"0.13400000000000001",NA,"2.7",NA,NA,"2.8","2.8","0","6.2",NA,"2.2999999999999998","0.2","0.12","0","3.26","0","22.4","0.04","0.13","0.09","0.04","5.4","62.5","0.24","0","0.01","0.09","0.42","0.56000000000000005","1.4","0","0","9.9","0.02","14.18","13.16",NA,"4.5","9.02","0","0","7.8","0","0.17","84.89","0.04"
"L50","Blackcurrant, raw","Fruits","NZ18","pubgcdrz","0",NA,"0.8","0.86","11.53","14.83","14.83","14.86","160","160",NA,"0","48","11.53","0","0.11",NA,"8","18.04",0.98,"66.760000000000005","75.36","283.22000000000003","317.62","75.989999999999995","317.62","62.57","261.56","0.41",NA,NA,NA,NA,NA,NA,NA,"7.0000000000000007E-2","0.217",NA,NA,"4.1000000000000002E-2",NA,"4.3",NA,NA,"8","8","0","7.06",NA,"7.27","0.21","1.04","0","14","0","255","0.08","0.32","0.24","0.15","34","295","0.94","0","0.05","0.2","2","0","0.5","0","0","14.83","0.02","15.83","19.13",NA,"13.33","26.72","0","0.06","160","0","0.8","81.96","0.27"
"L51","Blackcurrant, stewed with sugar","Fruits","NZ18","pgbcdaruz","0",NA,"0.8","0.85","23","23","23","23.54","160","160",NA,"0","47","23","0","0.11",NA,"2.1","27.1",1,"98.6","102.8","418.55","435.35","104.15","435.35","104.15","435.35","0.4",NA,NA,NA,NA,NA,NA,NA,"6.9000000000000006E-2","0.21199999999999999",NA,NA,"0.04",NA,"2.1",NA,NA,"2.1","2.1","0","10.7",NA,"1.6","0.15","1","0","13","1.2","251","0.1","0.3","0.2","0.12","34","290","0.75","0","0.05","0.15","2","0","9.5","18.440000000000001","18.440000000000001","23","0.02","25.1","25.1",NA,"13.33","26.72","0","0.05","140","0","0.8","72.900000000000006","0.27"
"L52","Blackcurrant, stewed","Fruits","NZ18","pgbcdruz","0",NA,"0.9","0.93","15.46","5.59","5.59","5.6","170","170",NA,"0","51","15.46","0","0.12",NA,"2.4","19.3",1,"25.61","29.81","108.84","125.64","30.06","125.64","70.19","293.39","0",NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,"0",NA,"2.1",NA,NA,"2.4","2.4","0","2.9",NA,"2.5","0.15","1.1000000000000001","0","16","0","277","0.1","0.4","0.3","0.13","37","320","0.81","0","0.05","0.17","3","0","0.19","0","0","5.59","0.03","17.559999999999999","7.69",NA,"14.17","28.39","0","0.06","150","0","0.9","80.7","0.28999999999999998"
"L53","Redcurrant, raw","Fruits","NZ18","pubgcdarz","0",NA,"0.1","0.71","9.42","4.4000000000000004","4.4000000000000004","4.42","70","70",NA,"0","36","9.42","0","0.12",NA,"3","16",0.97,"24.9","33.5","105.58","139.97999999999999","33.49","139.97999999999999","53.88","225.23","0.2",NA,NA,NA,NA,NA,NA,NA,"3.4000000000000002E-2","0.106",NA,NA,"0.02",NA,"4.3",NA,NA,"3","3","0","2.1",NA,"2","0.21","1.2","0","13","0","199","0.2","0.3","0.1","0.22","30","280","1.38","0","0.05","0.2","2","0","0.3","0","0","4.4000000000000004","0.04","13.72","8.6999999999999993",NA,"5.83","11.69","0","0.05","40","0","0.1","84","0.25"
"L54","Redcurrant, red, stewed with sugar","Fruits","NZ18","pgbcdurz","0",NA,"0.1","0.56000000000000005","16.47","12.8","12.8","13.27","55","55",NA,"0","28","16.47","0","0.09",NA,"2.1","20",1,"54.7","58.9","232.48","249.28","59.64","249.28","74.540000000000006","311.58","0",NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,"0",NA,"2.1",NA,NA,"2.1","2.1","0","1.8",NA,"1.7","0.15","0.9","0","10","0","156","0.1","0.2","0.1","0.14000000000000001","23","220","0.88","0","0.05","0.15","2","0","9.3000000000000007","9.36","9.36","12.8","0.03","18.57","14.9",NA,"4.58","9.19","0","0.03","28","0","0.1","80","0.2"
